pygame 1.9.6
Hello from the pygame community. https://www.pygame.org/contribute.html
graphic output! Epoch:10
100-game average 0.653125
graphic output! Epoch:20
100-game average 0.5752840909090909
         94048537 function calls (93918129 primitive calls) in 70.373 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   2639/1    0.018    0.000   70.377   70.377 {built-in method builtins.exec}
        1    0.004    0.004   70.377   70.377 train.py:1(<module>)
      511   15.435    0.030   62.464    0.122 convnet_ai.py:86(worlds_to_np_array)
  9981193    3.938    0.000   47.005    0.000 <__array_function__ internals>:2(sum)
9986121/9984420    3.020    0.000   42.105    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  9981193    7.976    0.000   39.021    0.000 fromnumeric.py:2045(sum)
       20    0.000    0.000   33.275    1.664 train.py:115(train)
       20    0.009    0.000   33.274    1.664 ai.py:78(train)
       20    0.001    0.000   31.564    1.578 train.py:111(simulate_entire_game)
      544    0.043    0.000   31.563    0.058 train.py:47(step)
      544    0.003    0.000   31.421    0.058 ai.py:36(predict_best_moves)
  9982410    8.172    0.000   29.958    0.000 fromnumeric.py:73(_wrapreduction)
  9983222   17.565    0.000   17.567    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  9982410    3.366    0.000    3.366    0.000 fromnumeric.py:74(<dictcomp>)
        1    0.000    0.000    2.631    2.631 pyplot.py:251(show)
        1    0.000    0.000    2.631    2.631 deprecation.py:404(wrapper)
        1    0.000    0.000    2.631    2.631 backend_bases.py:3278(show)
        1    0.000    0.000    2.625    2.625 backend_gtk3.py:1002(mainloop)
        1    2.579    2.579    2.625    2.625 Gtk.py:1626(main)
      511    0.027    0.000    1.992    0.004 training_arrays.py:45(model_iteration)
  2788/20    0.010    0.000    1.776    0.089 <frozen importlib._bootstrap>:978(_find_and_load)
   2567/9    0.007    0.000    1.775    0.197 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
   2130/9    0.007    0.000    1.775    0.197 <frozen importlib._bootstrap>:663(_load_unlocked)
   1982/8    0.004    0.000    1.774    0.222 <frozen importlib._bootstrap_external>:722(exec_module)
   3481/9    0.002    0.000    1.774    0.197 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
       25    0.001    0.000    1.589    0.064 __init__.py:15(<module>)
      982    0.020    0.000    1.545    0.002 backend.py:3250(__call__)
   1583/9    0.003    0.000    1.447    0.161 {built-in method builtins.__import__}
