pygame 1.9.6
Hello from the pygame community. https://www.pygame.org/contribute.html
graphic output! Epoch:10
100-game average 0.653125
graphic output! Epoch:20
100-game average 0.5752840909090909
         94048537 function calls (93918129 primitive calls) in 70.373 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      491    0.007    0.000    1.382    0.003 training.py:962(predict)
25408/3027    0.014    0.000    1.315    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      982    0.003    0.000    1.196    0.001 session.py:1450(__call__)
      982    1.193    0.001    1.193    0.001 {built-in method _pywrap_tensorflow_internal.TF_SessionRunCallable}
 10243396    1.144    0.000    1.163    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    1.135    1.135 lstm_ai.py:1(<module>)
  9981193    1.033    0.000    1.033    0.000 fromnumeric.py:2040(_sum_dispatcher)
        3    0.001    0.000    1.010    0.337 __init__.py:25(<module>)
  9992653    0.858    0.000    0.858    0.000 {method 'items' of 'dict' objects}
       20    0.001    0.000    0.800    0.040 training.py:428(fit)
        1    0.000    0.000    0.502    0.502 convnet_ai.py:61(__init__)
        1    0.000    0.000    0.502    0.502 save.py:117(load_model)
        1    0.000    0.000    0.502    0.502 hdf5_format.py:142(load_model_from_hdf5)
3605/3489    0.043    0.000    0.463    0.000 {built-in method builtins.__build_class__}
   367/49    0.001    0.000    0.439    0.009 base.py:453(_method_wrapper)
       11    0.000    0.000    0.389    0.035 sequential.py:128(add)
       11    0.000    0.000    0.375    0.034 base_layer.py:512(__call__)
  564/534    0.024    0.000    0.369    0.001 op_def_library.py:355(_apply_op_helper)
      995    0.005    0.000    0.345    0.000 backend.py:436(get_session)
        2    0.000    0.000    0.332    0.166 pyplot.py:726(savefig)
        2    0.000    0.000    0.332    0.166 figure.py:2038(savefig)
        2    0.000    0.000    0.332    0.166 backend_bases.py:1967(print_figure)
        2    0.000    0.000    0.331    0.165 backend_gtk3agg.py:79(print_png)
        2    0.000    0.000    0.331    0.165 backend_agg.py:450(print_png)
  795/776    0.007    0.000    0.328    0.000 deprecation.py:473(new_func)
        1    0.000    0.000    0.316    0.316 render.py:1(<module>)
        1    0.000    0.000    0.303    0.303 render.py:12(Renderer)
        1    0.000    0.000    0.303    0.303 lstm_ai.py:13(__init__)
        1    0.000    0.000    0.291    0.291 pyplot.py:19(<module>)
        1    0.000    0.000    0.255    0.255 recurrent.py:612(__call__)
14848/14804    0.061    0.000    0.255    0.000 layer_utils.py:42(filter_empty_layer_containers)
     1982    0.013    0.000    0.250    0.000 <frozen importlib._bootstrap_external>:793(get_code)
        2    0.232    0.116    0.232    0.116 {built-in method matplotlib._png.write_png}
        1    0.000    0.000    0.225    0.225 recurrent.py:2529(call)
        1    0.000    0.000    0.225    0.225 recurrent.py:671(call)
      131    0.001    0.000    0.214    0.002 __init__.py:1(<module>)
        1    0.000    0.000    0.212    0.212 backend.py:3518(rnn)
        1    0.000    0.000    0.207    0.207 standard_ops.py:17(<module>)
  746/736    0.007    0.000    0.206    0.000 ops.py:3535(create_op)
     4061    0.006    0.000    0.198    0.000 network.py:531(layers)
        2    0.000    0.000    0.196    0.098 backend.py:3041(batch_set_value)
       19    0.000    0.000    0.189    0.010 session.py:840(run)
       19    0.000    0.000    0.189    0.010 session.py:1084(_run)
        1    0.000    0.000    0.188    0.188 hdf5_format.py:699(load_weights_from_hdf5_group)
       19    0.000    0.000    0.184    0.010 session.py:1310(_do_run)
       19    0.000    0.000    0.184    0.010 session.py:1354(_do_call)
       19    0.000    0.000    0.184    0.010 session.py:1337(_run_fn)
      207    0.004    0.000    0.182    0.001 __init__.py:4(<module>)
     3067    0.028    0.000    0.180    0.000 inspect.py:1089(getfullargspec)
       10    0.000    0.000    0.176    0.018 __init__.py:16(<module>)
2103/2094    0.003    0.000    0.176    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
     1981    0.004    0.000    0.174    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
        3    0.000    0.000    0.174    0.058 __init__.py:19(<module>)
     3550    0.006    0.000    0.173    0.000 sequential.py:112(layers)
     2479    0.004    0.000    0.171    0.000 tf_inspect.py:238(getfullargspec)
     1981    0.167    0.000    0.167    0.000 {built-in method marshal.loads}
      995    0.007    0.000    0.161    0.000 backend.py:868(_initialize_variables)
  746/736    0.011    0.000    0.151    0.000 ops.py:1894(__init__)
3235/3120    0.009    0.000    0.144    0.000 inspect.py:2198(_signature_from_callable)
      995    0.004    0.000    0.141    0.000 backend.py:411(_get_session)
        1    0.000    0.000    0.140    0.140 activations.py:16(<module>)
        1    0.000    0.000    0.140    0.140 framework_lib.py:17(<module>)
    95/93    0.000    0.000    0.138    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
    95/93    0.134    0.001    0.137    0.001 {built-in method _imp.create_dynamic}
       19    0.000    0.000    0.137    0.007 session.py:1425(_call_tf_sessionrun)
       19    0.137    0.007    0.137    0.007 {built-in method _pywrap_tensorflow_internal.TF_SessionRun_wrapper}
        2    0.000    0.000    0.137    0.069 recurrent.py:726(step)
        2    0.000    0.000    0.137    0.069 recurrent.py:2195(call)
  181/180    0.000    0.000    0.137    0.001 dispatch.py:177(wrapper)
     2556    0.015    0.000    0.135    0.000 <frozen importlib._bootstrap>:882(_find_spec)
150329/134203    0.038    0.000    0.135    0.000 {built-in method builtins.hasattr}
        4    0.000    0.000    0.134    0.033 __init__.py:17(<module>)
        3    0.000    0.000    0.133    0.044 backend_agg.py:382(draw)
     3117    0.030    0.000    0.132    0.000 inspect.py:2117(_signature_from_function)
11565/11560    0.005    0.000    0.132    0.000 __init__.py:811(__getitem__)
    33/11    0.000    0.000    0.128    0.012 generic_utils.py:170(deserialize_keras_object)
        1    0.000    0.000    0.127    0.127 model_config.py:34(model_from_config)
      9/1    0.000    0.000    0.127    0.127 serialization.py:64(deserialize)
        1    0.000    0.000    0.127    0.127 sequential.py:339(from_config)
       21    0.000    0.000    0.127    0.006 training.py:2199(_make_train_function)
   243/21    0.000    0.000    0.126    0.006 __init__.py:109(import_module)
   243/21    0.000    0.000    0.126    0.006 <frozen importlib._bootstrap>:994(_gcd_import)
      9/2    0.000    0.000    0.126    0.063 pyplot.py:182(switch_backend)
    305/3    0.001    0.000    0.125    0.042 artist.py:30(draw_wrapper)
        3    0.000    0.000    0.125    0.042 figure.py:1661(draw)
28030/15190    0.012    0.000    0.124    0.000 {built-in method builtins.next}
        4    0.000    0.000    0.124    0.031 __init__.py:20(<module>)
        1    0.000    0.000    0.118    0.118 optimizer_v2.py:490(get_updates)
        2    0.000    0.000    0.118    0.059 pywrap_tensorflow.py:15(<module>)
        1    0.000    0.000    0.117    0.117 session.py:1548(__init__)
        1    0.000    0.000    0.117    0.117 session.py:628(__init__)
        1    0.117    0.117    0.117    0.117 {built-in method _pywrap_tensorflow_internal.TF_NewSessionRef}
    50/31    0.000    0.000    0.116    0.004 variables.py:257(__call__)
      6/3    0.000    0.000    0.116    0.039 image.py:117(_draw_list_compositing_images)
        3    0.000    0.000    0.116    0.039 _base.py:2573(draw)
       19    0.000    0.000    0.115    0.006 base.py:604(_add_variable_with_custom_getter)
        1    0.000    0.000    0.115    0.115 pywrap_tensorflow_internal.py:11(<module>)
      803    0.005    0.000    0.114    0.000 tf_inspect.py:260(getcallargs)
        2    0.000    0.000    0.113    0.056 recurrent.py:2172(_compute_carry_and_output)
       19    0.000    0.000    0.112    0.006 base_layer_utils.py:64(make_variable)
        2    0.000    0.000    0.112    0.056 pyplot.py:426(figure)
        2    0.000    0.000    0.112    0.056 __init__.py:27(<module>)
        1    0.000    0.000    0.112    0.112 backend_bases.py:3253(new_figure_manager)
        1    0.000    0.000    0.111    0.111 backend_bases.py:3263(new_figure_manager_given_figure)
        1    0.000    0.000    0.110    0.110 importer.py:15(<module>)
        1    0.000    0.000    0.110    0.110 pywrap_tensorflow_internal.py:13(swig_import_helper)
       19    0.000    0.000    0.109    0.006 variables.py:181(_variable_v1_call)
       19    0.000    0.000    0.109    0.006 variables.py:198(<lambda>)
       19    0.000    0.000    0.109    0.006 variable_scope.py:2455(default_variable_creator)
        1    0.000    0.000    0.109    0.109 imp.py:219(load_module)
        1    0.000    0.000    0.109    0.109 imp.py:330(load_dynamic)
        1    0.000    0.000    0.109    0.109 <frozen importlib._bootstrap>:686(_load)
       19    0.000    0.000    0.109    0.006 resource_variable_ops.py:361(__init__)
        1    0.000    0.000    0.109    0.109 function.py:19(<module>)
       19    0.001    0.000    0.109    0.006 resource_variable_ops.py:471(_init_from_args)
        1    0.000    0.000    0.109    0.109 graph_pb2.py:5(<module>)
     2531    0.002    0.000    0.109    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
       11    0.000    0.000    0.107    0.010 base_layer.py:1859(_maybe_build)
     2531    0.007    0.000    0.107    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
      511    0.005    0.000    0.106    0.000 training.py:2413(_standardize_user_data)
        1    0.000    0.000    0.105    0.105 __init__.py:106(<module>)
        6    0.000    0.000    0.101    0.017 axis.py:1195(draw)
       15    0.000    0.000    0.101    0.007 base_layer.py:265(add_weight)
        2    0.000    0.000    0.100    0.050 __init__.py:18(<module>)
      511    0.001    0.000    0.100    0.000 training.py:1080(reset_metrics)
        1    0.000    0.000    0.099    0.099 __init__.py:33(<module>)
10743/1490    0.021    0.000    0.099    0.000 base_layer.py:2029(_gather_children_attribute)
     1022    0.002    0.000    0.097    0.000 training.py:366(metrics)
10220/1022    0.005    0.000    0.095    0.000 base_layer.py:937(metrics)
        1    0.000    0.000    0.095    0.095 control_flow_ops.py:3235(while_loop)
     3227    0.021    0.000    0.094    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
        1    0.000    0.000    0.094    0.094 control_flow_ops.py:2989(BuildLoop)
        1    0.000    0.000    0.093    0.093 control_flow_ops.py:2864(_BuildLoop)
13378/6958    0.012    0.000    0.090    0.000 contextlib.py:107(__enter__)
1253/1219    0.004    0.000    0.089    0.000 ops.py:1152(internal_convert_to_tensor)
     3549    0.004    0.000    0.088    0.000 re.py:271(_compile)
        1    0.000    0.000    0.087    0.087 optimizer_v2.py:375(get_gradients)
        1    0.000    0.000    0.087    0.087 gradients_impl.py:43(gradients)
        1    0.001    0.001    0.087    0.087 gradients_util.py:546(_GradientsHelper)
        2    0.000    0.000    0.087    0.043 control_flow.py:15(<module>)
      182    0.000    0.000    0.086    0.000 constant_op.py:183(constant)
      182    0.002    0.000    0.085    0.000 constant_op.py:249(_constant_impl)
     1445    0.008    0.000    0.085    0.000 training.py:374(metrics_names)
        1    0.000    0.000    0.084    0.084 colorbar.py:20(<module>)
        1    0.000    0.000    0.084    0.084 multi_gpu_utils.py:15(<module>)
    27/17    0.000    0.000    0.084    0.005 <frozen importlib._bootstrap>:634(_load_backward_compatible)
     1565    0.001    0.000    0.083    0.000 training.py:387(run_eagerly)
        1    0.000    0.000    0.083    0.083 backend_gtk3agg.py:12(__init__)
        1    0.083    0.083    0.083    0.083 backend_gtk3.py:168(__init__)
     1588    0.002    0.000    0.083    0.000 sequential.py:124(dynamic)
100355/100097    0.031    0.000    0.081    0.000 {built-in method builtins.getattr}
      300    0.001    0.000    0.081    0.000 sre_compile.py:759(compile)
        1    0.000    0.000    0.079    0.079 backend_gtk3agg.py:1(<module>)
        1    0.000    0.000    0.077    0.077 __init__.py:83(<module>)
        1    0.002    0.002    0.075    0.075 backend_gtk3.py:1(<module>)
        1    0.000    0.000    0.074    0.074 convnet_ai.py:110(save)
        1    0.000    0.000    0.074    0.074 network.py:1167(save)
        1    0.000    0.000    0.074    0.074 save.py:46(save_model)
        1    0.000    0.000    0.074    0.074 hdf5_format.py:45(save_model_to_hdf5)
       10    0.000    0.000    0.073    0.007 backend.py:2992(batch_get_value)
       41    0.000    0.000    0.073    0.002 gradients_util.py:388(_MaybeCompile)
       41    0.000    0.000    0.072    0.002 gradients_util.py:731(<lambda>)
      261    0.000    0.000    0.070    0.000 re.py:232(compile)
        1    0.000    0.000    0.069    0.069 template.py:15(<module>)
        2    0.000    0.000    0.068    0.034 util.py:1(<module>)
     5768    0.020    0.000    0.068    0.000 ops.py:5644(get_controller)
     1616    0.006    0.000    0.068    0.000 nest.py:453(map_structure)
        1    0.000    0.000    0.067    0.067 graph_view.py:1(<module>)
        1    0.000    0.000    0.067    0.067 optimizer.py:16(<module>)
    45771    0.028    0.000    0.066    0.000 object_identity.py:121(__contains__)
     1150    0.001    0.000    0.066    0.000 tf_export.py:383(kwarg_only)
       11    0.000    0.000    0.066    0.006 artist.py:1578(kwdoc)
        2    0.000    0.000    0.066    0.033 backend.py:3183(_make_callable)
        2    0.000    0.000    0.066    0.033 session.py:1478(_make_callable_from_options)
        2    0.000    0.000    0.066    0.033 session.py:1439(__init__)
        2    0.065    0.033    0.065    0.033 {built-in method _pywrap_tensorflow_internal.TF_SessionMakeCallable}
      982    0.002    0.000    0.065    0.000 generic_utils.py:498(slice_arrays)
     12/3    0.000    0.000    0.065    0.022 importer.py:121(load_module)
        1    0.000    0.000    0.065    0.065 control_flow_ops.py:3456(<lambda>)
    77/69    0.001    0.000    0.064    0.001 axis.py:56(__init__)
    45771    0.023    0.000    0.064    0.000 object_identity.py:127(add)
        1    0.000    0.000    0.063    0.063 backend.py:3770(_step)
    12/11    0.001    0.000    0.063    0.006 __init__.py:75(load_overrides)
        1    0.000    0.000    0.062    0.062 batching.py:15(<module>)
     2617    0.006    0.000    0.062    0.000 nest.py:395(pack_sequence_as)
     3160    0.055    0.000    0.062    0.000 inspect.py:2750(__init__)
      130    0.000    0.000    0.062    0.000 constant_op.py:302(_constant_tensor_conversion_function)
        1    0.000    0.000    0.061    0.061 dataset_ops.py:15(<module>)
        1    0.000    0.000    0.061    0.061 figure.py:12(<module>)
       23    0.000    0.000    0.061    0.003 gen_math_ops.py:5872(mat_mul)
      982    0.060    0.000    0.060    0.000 generic_utils.py:531(<listcomp>)
     1223    0.002    0.000    0.058    0.000 tf_inspect.py:98(getargspec)
     2789    0.002    0.000    0.058    0.000 <frozen importlib._bootstrap>:147(__enter__)
      511    0.001    0.000    0.058    0.000 training_utils.py:181(get_progbar)
       12    0.001    0.000    0.057    0.005 axis.py:1074(_update_ticks)
        1    0.000    0.000    0.057    0.057 resource_variable_ops.py:15(<module>)
       16    0.000    0.000    0.056    0.004 backend.py:1565(dot)
       16    0.000    0.000    0.056    0.003 math_ops.py:2458(matmul)
        1    0.000    0.000    0.054    0.054 _subplots.py:1(<module>)
        1    0.000    0.000    0.054    0.054 input_layer.py:17(<module>)
     1223    0.002    0.000    0.054    0.000 tf_inspect.py:55(_getargspec)
        1    0.000    0.000    0.053    0.053 distributed_training_utils.py:15(<module>)
      279    0.000    0.000    0.053    0.000 ops.py:1090(convert_to_tensor_v2)
      275    0.000    0.000    0.051    0.000 ops.py:1030(convert_to_tensor)
      746    0.008    0.000    0.051    0.000 ops.py:1824(_create_c_op)
       11    0.001    0.000    0.050    0.005 artist.py:1349(pprint_setters)
        1    0.001    0.001    0.050    0.050 hdf5_format.py:670(save_weights_to_hdf5_group)
     1964    0.004    0.000    0.050    0.000 callbacks.py:233(_call_batch_hook)
     5494    0.048    0.000    0.049    0.000 <frozen importlib._bootstrap>:78(acquire)
      300    0.001    0.000    0.048    0.000 sre_parse.py:913(parse)
       16    0.000    0.000    0.047    0.003 base_layer_utils.py:135(<lambda>)
       21    0.000    0.000    0.046    0.002 session.py:1372(_extend_graph)
     8050    0.044    0.000    0.046    0.000 {built-in method numpy.array}
  853/300    0.002    0.000    0.046    0.000 sre_parse.py:411(_parse_sub)
       21    0.046    0.002    0.046    0.002 {built-in method _pywrap_tensorflow_internal.ExtendSession}
19996/10741    0.004    0.000    0.046    0.000 base_layer.py:2039(<genexpr>)
        2    0.000    0.000    0.046    0.023 iterator_ops.py:15(<module>)
 1110/317    0.017    0.000    0.045    0.000 sre_parse.py:469(_parse)
        3    0.000    0.000    0.045    0.015 _base.py:960(cla)
        1    0.000    0.000    0.044    0.044 backend_qt5agg.py:3(<module>)
        1    0.000    0.000    0.043    0.043 optimizer_v2.py:713(set_weights)
        2    0.000    0.000    0.043    0.022 __init__.py:3233(_call_aside)
        1    0.000    0.000    0.043    0.043 __init__.py:3250(_initialize_master_working_set)
        1    0.000    0.000    0.043    0.043 io_utils.py:16(<module>)
        1    0.000    0.000    0.043    0.043 array_ops.py:16(<module>)
     1103    0.003    0.000    0.042    0.000 ops.py:6464(__enter__)
        1    0.000    0.000    0.042    0.042 __init__.py:13(<module>)
    91542    0.028    0.000    0.042    0.000 object_identity.py:118(_wrap_key)
      302    0.001    0.000    0.041    0.000 <__array_function__ internals>:2(median)
       20    0.000    0.000    0.040    0.002 train.py:42(__init__)
13378/6969    0.011    0.000    0.040    0.000 contextlib.py:116(__exit__)
       20    0.002    0.000    0.040    0.002 train.py:45(<listcomp>)
      302    0.001    0.000    0.039    0.000 function_base.py:3419(median)
        1    0.000    0.000    0.039    0.039 rnn.py:15(<module>)
    18061    0.025    0.000    0.039    0.000 game.py:38(forward)
      302    0.001    0.000    0.038    0.000 function_base.py:3359(_ureduce)
      511    0.002    0.000    0.038    0.000 training.py:1851(_validate_or_infer_batch_size)
3030/2490    0.007    0.000    0.038    0.000 nest.py:363(_packed_nest_with_indices)
        1    0.000    0.000    0.038    0.038 contour.py:3(<module>)
        3    0.000    0.000    0.038    0.013 tf_utils.py:290(wrapper)
        3    0.000    0.000    0.038    0.013 core.py:998(build)
     3415    0.002    0.000    0.038    0.000 _asarray.py:16(asarray)
        2    0.000    0.000    0.038    0.019 __init__.py:41(<module>)
        1    0.000    0.000    0.037    0.037 callbacks.py:17(<module>)
     2560    0.010    0.000    0.037    0.000 game.py:15(__init__)
       65    0.001    0.000    0.037    0.001 gen_resource_variable_ops.py:545(read_variable_op)
        1    0.000    0.000    0.037    0.037 _axes.py:1(<module>)
        6    0.000    0.000    0.037    0.006 pyplot.py:2792(plot)
    17051    0.021    0.000    0.036    0.000 inspect.py:2467(__init__)
       16    0.000    0.000    0.036    0.002 __init__.py:611(add_entry)
      544    0.024    0.000    0.036    0.000 ai.py:96(predict_best_moves)
    95/79    0.000    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
      335    0.020    0.000    0.036    0.000 __init__.py:316(namedtuple)
        1    0.000    0.000    0.036    0.036 backend_gtk3.py:305(idle_draw)
        1    0.000    0.000    0.036    0.036 backend_gtk3agg.py:73(draw)
    95/79    0.005    0.000    0.036    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.036    0.036 backend_gtk3agg.py:19(_render_figure)
       15    0.000    0.000    0.036    0.002 array_ops.py:538(_slice_helper)
     2505    0.021    0.000    0.036    0.000 inspect.py:613(cleandoc)
        2    0.000    0.000    0.035    0.018 training.py:164(compile)
    18213    0.006    0.000    0.035    0.000 random.py:218(randint)
      237    0.004    0.000    0.035    0.000 lines.py:273(__init__)
        1    0.000    0.000    0.035    0.035 math_ops.py:68(<module>)
        1    0.000    0.000    0.035    0.035 optional_ops.py:15(<module>)
      202    0.000    0.000    0.035    0.000 __init__.py:2037(find_on_path)
        1    0.000    0.000    0.035    0.035 estimator_lib.py:15(<module>)
     9613    0.004    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
      491    0.008    0.000    0.034    0.000 ai.py:73(<listcomp>)
    45837    0.018    0.000    0.034    0.000 layer_utils.py:27(is_layer)
    39/35    0.000    0.000    0.034    0.001 axis.py:1928(_get_tick)
      302    0.004    0.000    0.033    0.000 function_base.py:3508(_median)
        1    0.000    0.000    0.033    0.033 collections.py:10(<module>)
     2377    0.002    0.000    0.033    0.000 inspect.py:594(getdoc)
    10084    0.032    0.000    0.032    0.000 {built-in method posix.stat}
        2    0.000    0.000    0.032    0.016 training.py:1687(_compile_weights_loss_and_weighted_metrics)
       53    0.000    0.000    0.032    0.001 resource_variable_ops.py:932(_read_variable_op)
     2103    0.007    0.000    0.032    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
        2    0.000    0.000    0.032    0.016 training.py:1729(_prepare_total_loss)
       45    0.000    0.000    0.031    0.001 math_ops.py:881(binary_op_wrapper)
    38/34    0.000    0.000    0.031    0.001 axis.py:2218(_get_tick)
        1    0.000    0.000    0.031    0.031 optimizer_v2.py:408(apply_gradients)
     1983    0.018    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:914(get_data)
      317    0.001    0.000    0.031    0.000 overrides.py:154(decorator)
      300    0.001    0.000    0.031    0.000 sre_compile.py:598(_code)
  746/736    0.003    0.000    0.031    0.000 ops.py:2045(_control_flow_post_processing)
        2    0.000    0.000    0.030    0.015 text.py:3(<module>)
    13378    0.008    0.000    0.030    0.000 contextlib.py:237(helper)
    18597    0.013    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
  224/196    0.005    0.000    0.030    0.000 module.py:128(__getattr__)
        1    0.000    0.000    0.029    0.029 recurrent.py:490(build)
    18213    0.012    0.000    0.029    0.000 random.py:174(randrange)
        1    0.000    0.000    0.029    0.029 tpu_cluster_resolver.py:15(<module>)
        1    0.000    0.000    0.029    0.029 recurrent.py:2135(build)
     1493    0.002    0.000    0.029    0.000 callbacks.py:187(make_logs)
       18    0.000    0.000    0.029    0.002 six.py:91(__get__)
     1371    0.008    0.000    0.029    0.000 ops.py:2624(get_attr)
     7899    0.005    0.000    0.029    0.000 ops.py:6015(get_default_graph)
       20    0.000    0.000    0.029    0.001 six.py:80(_import_module)
        2    0.000    0.000    0.029    0.014 convolutional.py:146(build)
      511    0.001    0.000    0.029    0.000 training_utils.py:1550(convert_eager_tensors_to_numpy)
        7    0.000    0.000    0.028    0.004 __init__.py:2(<module>)
    16/12    0.000    0.000    0.028    0.002 axis.py:945(set_clip_path)
       14    0.000    0.000    0.028    0.002 six.py:159(_resolve)
    92259    0.021    0.000    0.028    0.000 object_identity.py:44(__hash__)
        1    0.000    0.000    0.028    0.028 structure.py:15(<module>)
        1    0.000    0.000    0.028    0.028 __init__.py:101(<module>)
        6    0.000    0.000    0.028    0.005 init_ops.py:508(__call__)
        6    0.000    0.000    0.028    0.005 random_ops.py:188(random_uniform)
        1    0.007    0.007    0.028    0.028 backend_gtk3.py:342(__init__)
        1    0.000    0.000    0.027    0.027 request.py:68(<module>)
        6    0.000    0.000    0.027    0.005 pyplot.py:908(gca)
        6    0.000    0.000    0.027    0.005 figure.py:1888(gca)
        2    0.000    0.000    0.027    0.014 figure.py:1261(add_subplot)
        2    0.000    0.000    0.027    0.013 _subplots.py:18(__init__)
        6    0.000    0.000    0.027    0.004 activations.py:253(hard_sigmoid)
        6    0.000    0.000    0.027    0.004 backend.py:4259(hard_sigmoid)
        2    0.000    0.000    0.026    0.013 _base.py:421(__init__)
      511    0.001    0.000    0.026    0.000 network.py:474(stateful)
       12    0.002    0.000    0.026    0.002 artist.py:1277(_get_setters_and_targets)
    10892    0.009    0.000    0.026    0.000 {built-in method builtins.any}
    28/16    0.000    0.000    0.026    0.002 axis.py:658(__get__)
    16476    0.026    0.000    0.026    0.000 ai.py:43(direction)
        2    0.000    0.000    0.026    0.013 pyplot.py:703(clf)
        3    0.000    0.000    0.026    0.009 figure.py:1624(clf)
        1    0.000    0.000    0.026    0.026 requirements.py:4(<module>)
        8    0.000    0.000    0.026    0.003 array_ops.py:891(_SliceHelperVar)
        1    0.003    0.003    0.026    0.026 Gtk.py:22(<module>)
     7115    0.003    0.000    0.025    0.000 nest.py:147(_yield_value)
        9    0.000    0.000    0.025    0.003 __init__.py:8(<module>)
       24    0.000    0.000    0.025    0.001 ticker.py:2079(__call__)
       44    0.000    0.000    0.025    0.001 gen_math_ops.py:6455(mul)
       24    0.000    0.000    0.025    0.001 ticker.py:2083(tick_values)
        1    0.000    0.000    0.025    0.025 client.py:69(<module>)
       30    0.000    0.000    0.025    0.001 axis.py:819(cla)
      408    0.001    0.000    0.025    0.000 artist.py:1241(get_valid_values)
     1005    0.025    0.000    0.025    0.000 {built-in method numpy.zeros}
     2591    0.021    0.000    0.025    0.000 tf_stack.py:32(extract_stack)
    51236    0.011    0.000    0.025    0.000 {method 'add' of 'set' objects}
        1    0.014    0.014    0.024    0.024 Gdk.py:22(<module>)
       24    0.001    0.000    0.024    0.001 ticker.py:2019(_raw_ticks)
     7899    0.007    0.000    0.024    0.000 ops.py:5624(get_default)
     4214    0.005    0.000    0.024    0.000 game.py:54(place_food)
     3964    0.010    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
        2    0.000    0.000    0.023    0.012 ops.py:15(<module>)
        1    0.000    0.000    0.023    0.023 v1.py:19(<module>)
    18514    0.006    0.000    0.023    0.000 abc.py:137(__instancecheck__)
       34    0.000    0.000    0.023    0.001 resource_variable_ops.py:845(value)
        1    0.000    0.000    0.023    0.023 ssl.py:91(<module>)
    26/22    0.000    0.000    0.023    0.001 tf_should_use.py:192(wrapped)
     7115    0.008    0.000    0.022    0.000 nest.py:152(_yield_sorted_items)
       12    0.000    0.000    0.022    0.002 axis.py:1404(get_major_ticks)
    13378    0.019    0.000    0.022    0.000 contextlib.py:81(__init__)
 1984/300    0.008    0.000    0.022    0.000 sre_compile.py:71(_compile)
      376    0.001    0.000    0.021    0.000 __init__.py:2124(distributions_from_metadata)
