pygame 1.9.6
Hello from the pygame community. https://www.pygame.org/contribute.html
graphic output! Epoch:10
100-game average 0.51640625
graphic output! Epoch:20
100-game average 0.44673295454545453
         83844654 function calls (83704403 primitive calls) in 91.021 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   2639/1    0.017    0.000   91.026   91.026 {built-in method builtins.exec}
        1    0.004    0.004   91.026   91.026 train.py:1(<module>)
      419   13.694    0.033   55.799    0.133 convnet_ai.py:86(worlds_to_np_array)
  8819991    3.468    0.000   42.083    0.000 <__array_function__ internals>:2(sum)
8829236/8824458    2.572    0.000   37.903    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  8819991    7.175    0.000   35.109    0.000 fromnumeric.py:2045(sum)
       20    0.000    0.000   32.524    1.626 train.py:115(train)
       20    0.007    0.000   32.522    1.626 ai.py:78(train)
       20    0.001    0.000   27.912    1.396 train.py:111(simulate_entire_game)
      444    0.038    0.000   27.911    0.063 train.py:47(step)
      444    0.002    0.000   27.787    0.063 ai.py:36(predict_best_moves)
        1    0.000    0.000   27.725   27.725 pyplot.py:251(show)
        1    0.000    0.000   27.725   27.725 deprecation.py:404(wrapper)
        1    0.000    0.000   27.725   27.725 backend_bases.py:3278(show)
        1    0.000    0.000   27.720   27.720 backend_gtk3.py:1002(mainloop)
        1   27.615   27.615   27.720   27.720 Gtk.py:1626(main)
  8821214    7.604    0.000   27.012    0.000 fromnumeric.py:73(_wrapreduction)
  8823054   15.701    0.000   15.703    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      419    0.041    0.000    4.303    0.010 training_arrays.py:45(model_iteration)
     1378    0.042    0.000    3.421    0.002 backend.py:3250(__call__)
       20    0.001    0.000    3.281    0.164 training.py:428(fit)
  8821214    3.035    0.000    3.035    0.000 fromnumeric.py:74(<dictcomp>)
     1378    0.004    0.000    2.865    0.002 session.py:1450(__call__)
     1378    2.861    0.002    2.861    0.002 {built-in method _pywrap_tensorflow_internal.TF_SessionRunCallable}
  2788/20    0.009    0.000    1.702    0.085 <frozen importlib._bootstrap>:978(_find_and_load)
   2567/9    0.007    0.000    1.702    0.189 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
   2130/9    0.007    0.000    1.701    0.189 <frozen importlib._bootstrap>:663(_load_unlocked)
   1982/8    0.004    0.000    1.700    0.213 <frozen importlib._bootstrap_external>:722(exec_module)
   3480/9    0.001    0.000    1.700    0.189 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
       25    0.001    0.000    1.525    0.061 __init__.py:15(<module>)
   1583/9    0.003    0.000    1.380    0.153 {built-in method builtins.__import__}
25224/2843    0.012    0.000    1.250    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      399    0.007    0.000    1.186    0.003 training.py:962(predict)
        1    0.000    0.000    1.096    1.096 lstm_ai.py:1(<module>)
  9097862    0.989    0.000    1.015    0.000 {built-in method builtins.isinstance}
        3    0.001    0.000    0.984    0.328 __init__.py:25(<module>)
  8819991    0.948    0.000    0.948    0.000 fromnumeric.py:2040(_sum_dispatcher)
  8832162    0.690    0.000    0.690    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.513    0.513 convnet_ai.py:61(__init__)
        1    0.000    0.000    0.513    0.513 save.py:117(load_model)
        1    0.000    0.000    0.513    0.513 hdf5_format.py:142(load_model_from_hdf5)
3605/3489    0.042    0.000    0.451    0.000 {built-in method builtins.__build_class__}
     1391    0.007    0.000    0.432    0.000 backend.py:436(get_session)
   367/49    0.001    0.000    0.427    0.009 base.py:453(_method_wrapper)
       11    0.000    0.000    0.377    0.034 sequential.py:128(add)
       11    0.000    0.000    0.364    0.033 base_layer.py:512(__call__)
  564/534    0.023    0.000    0.361    0.001 op_def_library.py:355(_apply_op_helper)
        2    0.000    0.000    0.346    0.173 pyplot.py:726(savefig)
        2    0.000    0.000    0.345    0.173 figure.py:2038(savefig)
        2    0.000    0.000    0.345    0.173 backend_bases.py:1967(print_figure)
        2    0.000    0.000    0.344    0.172 backend_gtk3agg.py:79(print_png)
        2    0.000    0.000    0.344    0.172 backend_agg.py:450(print_png)
  795/776    0.007    0.000    0.321    0.000 deprecation.py:473(new_func)
15152/15108    0.075    0.000    0.313    0.000 layer_utils.py:42(filter_empty_layer_containers)
        1    0.000    0.000    0.310    0.310 render.py:1(<module>)
        1    0.000    0.000    0.297    0.297 render.py:12(Renderer)
        1    0.000    0.000    0.297    0.297 lstm_ai.py:13(__init__)
        1    0.000    0.000    0.264    0.264 pyplot.py:19(<module>)
     4605    0.008    0.000    0.256    0.000 network.py:531(layers)
        1    0.000    0.000    0.250    0.250 recurrent.py:612(__call__)
        2    0.239    0.119    0.239    0.119 {built-in method matplotlib._png.write_png}
     4186    0.010    0.000    0.239    0.000 sequential.py:112(layers)
     1982    0.013    0.000    0.234    0.000 <frozen importlib._bootstrap_external>:793(get_code)
        1    0.000    0.000    0.221    0.221 recurrent.py:2529(call)
        1    0.000    0.000    0.220    0.220 recurrent.py:671(call)
        2    0.000    0.000    0.216    0.108 backend.py:3041(batch_set_value)
     2756    0.015    0.000    0.216    0.000 callbacks.py:233(_call_batch_hook)
        1    0.000    0.000    0.209    0.209 hdf5_format.py:699(load_weights_from_hdf5_group)
        1    0.000    0.000    0.208    0.208 backend.py:3518(rnn)
      131    0.001    0.000    0.205    0.002 __init__.py:1(<module>)
        1    0.000    0.000    0.205    0.205 standard_ops.py:17(<module>)
     1378    0.004    0.000    0.201    0.000 generic_utils.py:498(slice_arrays)
  746/736    0.007    0.000    0.200    0.000 ops.py:3535(create_op)
155124/134708    0.043    0.000    0.194    0.000 {built-in method builtins.hasattr}
     1378    0.191    0.000    0.191    0.000 generic_utils.py:531(<listcomp>)
       19    0.000    0.000    0.184    0.010 session.py:840(run)
       19    0.000    0.000    0.184    0.010 session.py:1084(_run)
     1391    0.009    0.000    0.183    0.000 backend.py:411(_get_session)
       19    0.000    0.000    0.179    0.009 session.py:1310(_do_run)
       19    0.000    0.000    0.178    0.009 session.py:1354(_do_call)
       19    0.000    0.000    0.178    0.009 session.py:1337(_run_fn)
     1330    0.002    0.000    0.178    0.000 <__array_function__ internals>:2(median)
     1391    0.011    0.000    0.177    0.000 backend.py:868(_initialize_variables)
     3067    0.027    0.000    0.176    0.000 inspect.py:1089(getfullargspec)
     2449    0.015    0.000    0.174    0.000 training.py:374(metrics_names)
     1330    0.003    0.000    0.172    0.000 function_base.py:3419(median)
       10    0.000    0.000    0.169    0.017 __init__.py:16(<module>)
     1330    0.006    0.000    0.169    0.000 function_base.py:3359(_ureduce)
2103/2094    0.003    0.000    0.168    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
     2479    0.004    0.000    0.168    0.000 tf_inspect.py:238(getfullargspec)
        3    0.000    0.000    0.167    0.056 __init__.py:19(<module>)
      207    0.004    0.000    0.164    0.001 __init__.py:4(<module>)
     1982    0.004    0.000    0.163    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
     1982    0.156    0.000    0.156    0.000 {built-in method marshal.loads}
  746/736    0.010    0.000    0.148    0.000 ops.py:1894(__init__)
     1330    0.019    0.000    0.146    0.000 function_base.py:3508(_median)
       19    0.000    0.000    0.141    0.007 session.py:1425(_call_tf_sessionrun)
       19    0.141    0.007    0.141    0.007 {built-in method _pywrap_tensorflow_internal.TF_SessionRun_wrapper}
3235/3120    0.009    0.000    0.140    0.000 inspect.py:2198(_signature_from_callable)
        1    0.000    0.000    0.140    0.140 session.py:1548(__init__)
        1    0.000    0.000    0.140    0.140 session.py:628(__init__)
        1    0.140    0.140    0.140    0.140 {built-in method _pywrap_tensorflow_internal.TF_NewSessionRef}
        3    0.000    0.000    0.140    0.047 backend_agg.py:382(draw)
30408/15984    0.012    0.000    0.139    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.138    0.138 framework_lib.py:17(<module>)
  181/180    0.000    0.000    0.136    0.001 dispatch.py:177(wrapper)
        1    0.000    0.000    0.135    0.135 activations.py:16(<module>)
        2    0.000    0.000    0.134    0.067 recurrent.py:726(step)
        2    0.000    0.000    0.134    0.067 recurrent.py:2195(call)
    95/93    0.000    0.000    0.132    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
    95/93    0.128    0.001    0.131    0.001 {built-in method _imp.create_dynamic}
     1877    0.005    0.000    0.131    0.000 callbacks.py:187(make_logs)
    305/3    0.001    0.000    0.131    0.044 artist.py:30(draw_wrapper)
        3    0.000    0.000    0.131    0.044 figure.py:1661(draw)
     2556    0.014    0.000    0.130    0.000 <frozen importlib._bootstrap>:882(_find_spec)
     3117    0.029    0.000    0.129    0.000 inspect.py:2117(_signature_from_function)
       21    0.000    0.000    0.126    0.006 training.py:2199(_make_train_function)
    33/11    0.000    0.000    0.122    0.011 generic_utils.py:170(deserialize_keras_object)
      6/3    0.000    0.000    0.121    0.040 image.py:117(_draw_list_compositing_images)
        3    0.000    0.000    0.121    0.040 _base.py:2573(draw)
        1    0.000    0.000    0.121    0.121 model_config.py:34(model_from_config)
      9/1    0.000    0.000    0.121    0.121 serialization.py:64(deserialize)
        1    0.000    0.000    0.121    0.121 sequential.py:339(from_config)
11676/11671    0.005    0.000    0.120    0.000 __init__.py:811(__getitem__)
