pygame 1.9.6
Hello from the pygame community. https://www.pygame.org/contribute.html
         4300057 function calls (4170202 primitive calls) in 6.013 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
11523/1568    0.029    0.000    0.138    0.000 base_layer.py:2029(_gather_children_attribute)
     1100    0.002    0.000    0.137    0.000 training.py:366(metrics)
        4    0.000    0.000    0.135    0.034 __init__.py:17(<module>)
11000/1100    0.007    0.000    0.135    0.000 base_layer.py:937(metrics)
     3117    0.030    0.000    0.135    0.000 inspect.py:2117(_signature_from_function)
       21    0.000    0.000    0.132    0.006 training.py:2199(_make_train_function)
        4    0.000    0.000    0.130    0.033 __init__.py:20(<module>)
26903/13857    0.012    0.000    0.129    0.000 {built-in method builtins.next}
    33/11    0.000    0.000    0.128    0.012 generic_utils.py:170(deserialize_keras_object)
   241/19    0.000    0.000    0.127    0.007 __init__.py:109(import_module)
        1    0.000    0.000    0.127    0.127 model_config.py:34(model_from_config)
      9/1    0.000    0.000    0.127    0.127 serialization.py:64(deserialize)
   241/19    0.000    0.000    0.127    0.007 <frozen importlib._bootstrap>:994(_gcd_import)
        1    0.000    0.000    0.127    0.127 sequential.py:339(from_config)
      9/2    0.000    0.000    0.127    0.064 pyplot.py:182(switch_backend)
  113/108    0.000    0.000    0.127    0.001 __init__.py:811(__getitem__)
        1    0.000    0.000    0.124    0.124 optimizer_v2.py:490(get_updates)
    50/31    0.000    0.000    0.121    0.004 variables.py:257(__call__)
        2    0.000    0.000    0.120    0.060 pywrap_tensorflow.py:15(<module>)
       19    0.000    0.000    0.120    0.006 base.py:604(_add_variable_with_custom_getter)
        2    0.000    0.000    0.119    0.059 __init__.py:27(<module>)
     1682    0.002    0.000    0.117    0.000 training.py:387(run_eagerly)
        1    0.000    0.000    0.117    0.117 pywrap_tensorflow_internal.py:11(<module>)
     1705    0.003    0.000    0.116    0.000 sequential.py:124(dynamic)
       19    0.000    0.000    0.116    0.006 base_layer_utils.py:64(make_variable)
      803    0.005    0.000    0.116    0.000 tf_inspect.py:260(getcallargs)
        2    0.000    0.000    0.116    0.058 recurrent.py:2172(_compute_carry_and_output)
        1    0.000    0.000    0.115    0.115 importer.py:15(<module>)
        1    0.000    0.000    0.114    0.114 function.py:19(<module>)
       19    0.000    0.000    0.114    0.006 variables.py:181(_variable_v1_call)
       19    0.000    0.000    0.114    0.006 variables.py:198(<lambda>)
       19    0.000    0.000    0.114    0.006 variable_scope.py:2455(default_variable_creator)
       19    0.000    0.000    0.114    0.006 resource_variable_ops.py:361(__init__)
       19    0.001    0.000    0.113    0.006 resource_variable_ops.py:471(_init_from_args)
        1    0.000    0.000    0.113    0.113 graph_pb2.py:5(<module>)
        1    0.000    0.000    0.113    0.113 __init__.py:106(<module>)
        1    0.000    0.000    0.113    0.113 pywrap_tensorflow_internal.py:13(swig_import_helper)
     2530    0.002    0.000    0.113    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
        1    0.000    0.000    0.112    0.112 imp.py:219(load_module)
        1    0.000    0.000    0.112    0.112 imp.py:330(load_dynamic)
        1    0.000    0.000    0.112    0.112 <frozen importlib._bootstrap>:686(_load)
       11    0.000    0.000    0.111    0.010 base_layer.py:1859(_maybe_build)
        1    0.000    0.000    0.111    0.111 pyplot.py:426(figure)
        1    0.000    0.000    0.111    0.111 backend_bases.py:3253(new_figure_manager)
     2530    0.007    0.000    0.111    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
        1    0.000    0.000    0.110    0.110 backend_bases.py:3263(new_figure_manager_given_figure)
     1535    0.009    0.000    0.110    0.000 training.py:374(metrics_names)
        2    0.000    0.000    0.106    0.053 __init__.py:18(<module>)
       15    0.000    0.000    0.105    0.007 base_layer.py:265(add_weight)
        1    0.000    0.000    0.104    0.104 __init__.py:33(<module>)
        1    0.000    0.000    0.100    0.100 control_flow_ops.py:3235(while_loop)
98356/98099    0.033    0.000    0.099    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.099    0.099 control_flow_ops.py:2989(BuildLoop)
        1    0.000    0.000    0.098    0.098 control_flow_ops.py:2864(_BuildLoop)
     3226    0.022    0.000    0.097    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
12851/6328    0.013    0.000    0.093    0.000 contextlib.py:107(__enter__)
    49038    0.041    0.000    0.093    0.000 object_identity.py:121(__contains__)
1253/1219    0.004    0.000    0.092    0.000 ops.py:1152(internal_convert_to_tensor)
        2    0.000    0.000    0.092    0.046 control_flow.py:15(<module>)
    49038    0.033    0.000    0.092    0.000 object_identity.py:127(add)
        1    0.000    0.000    0.091    0.091 optimizer_v2.py:375(get_gradients)
        1    0.000    0.000    0.091    0.091 gradients_impl.py:43(gradients)
        1    0.001    0.001    0.091    0.091 gradients_util.py:546(_GradientsHelper)
      182    0.000    0.000    0.089    0.000 constant_op.py:183(constant)
      182    0.002    0.000    0.089    0.000 constant_op.py:249(_constant_impl)
     2884    0.004    0.000    0.089    0.000 re.py:271(_compile)
        1    0.000    0.000    0.087    0.087 multi_gpu_utils.py:15(<module>)
    27/17    0.000    0.000    0.084    0.005 <frozen importlib._bootstrap>:634(_load_backward_compatible)
     1707    0.008    0.000    0.084    0.000 nest.py:453(map_structure)
        1    0.000    0.000    0.083    0.083 backend_gtk3agg.py:12(__init__)
        1    0.083    0.083    0.083    0.083 backend_gtk3.py:168(__init__)
     2760    0.008    0.000    0.082    0.000 nest.py:395(pack_sequence_as)
      299    0.001    0.000    0.082    0.000 sre_compile.py:759(compile)
        1    0.000    0.000    0.082    0.082 convnet_ai.py:118(save)
        1    0.000    0.000    0.082    0.082 network.py:1167(save)
        1    0.000    0.000    0.082    0.082 save.py:46(save_model)
        1    0.000    0.000    0.081    0.081 hdf5_format.py:45(save_model_to_hdf5)
        1    0.000    0.000    0.081    0.081 __init__.py:83(<module>)
      550    0.002    0.000    0.080    0.000 training_utils.py:181(get_progbar)
        1    0.000    0.000    0.080    0.080 colorbar.py:20(<module>)
     5872    0.022    0.000    0.078    0.000 ops.py:5644(get_controller)
        1    0.000    0.000    0.078    0.078 backend_gtk3agg.py:1(<module>)
       10    0.000    0.000    0.077    0.008 backend.py:2992(batch_get_value)
     1034    0.003    0.000    0.077    0.000 generic_utils.py:498(slice_arrays)
       41    0.000    0.000    0.076    0.002 gradients_util.py:388(_MaybeCompile)
       41    0.000    0.000    0.075    0.002 gradients_util.py:731(<lambda>)
        1    0.002    0.002    0.075    0.075 backend_gtk3.py:1(<module>)
   257685    0.051    0.000    0.073    0.000 {built-in method builtins.isinstance}
      249    0.000    0.000    0.073    0.000 re.py:232(compile)
        1    0.000    0.000    0.072    0.072 template.py:15(<module>)
        2    0.000    0.000    0.072    0.036 util.py:1(<module>)
     1034    0.070    0.000    0.070    0.000 generic_utils.py:531(<listcomp>)
        1    0.000    0.000    0.070    0.070 graph_view.py:1(<module>)
        1    0.000    0.000    0.070    0.070 optimizer.py:16(<module>)
        2    0.000    0.000    0.069    0.035 backend.py:3183(_make_callable)
        2    0.000    0.000    0.069    0.035 session.py:1478(_make_callable_from_options)
        2    0.000    0.000    0.069    0.035 session.py:1439(__init__)
        2    0.069    0.035    0.069    0.035 {built-in method _pywrap_tensorflow_internal.TF_SessionMakeCallable}
        1    0.000    0.000    0.068    0.068 control_flow_ops.py:3456(<lambda>)
     1150    0.001    0.000    0.068    0.000 tf_export.py:383(kwarg_only)
        1    0.000    0.000    0.067    0.067 backend.py:3770(_step)
        1    0.000    0.000    0.066    0.066 batching.py:15(<module>)
        1    0.000    0.000    0.065    0.065 dataset_ops.py:15(<module>)
     12/3    0.000    0.000    0.064    0.021 importer.py:121(load_module)
21478/11521    0.005    0.000    0.064    0.000 base_layer.py:2039(<genexpr>)
      130    0.000    0.000    0.064    0.000 constant_op.py:302(_constant_tensor_conversion_function)
       11    0.000    0.000    0.063    0.006 artist.py:1578(kwdoc)
     3160    0.056    0.000    0.063    0.000 inspect.py:2750(__init__)
    12/11    0.001    0.000    0.063    0.006 __init__.py:75(load_overrides)
       23    0.000    0.000    0.062    0.003 gen_math_ops.py:5872(mat_mul)
     1223    0.002    0.000    0.060    0.000 tf_inspect.py:98(getargspec)
     2786    0.002    0.000    0.060    0.000 <frozen importlib._bootstrap>:147(__enter__)
        1    0.000    0.000    0.060    0.060 resource_variable_ops.py:15(<module>)
        1    0.000    0.000    0.059    0.059 figure.py:12(<module>)
    98076    0.038    0.000    0.058    0.000 object_identity.py:118(_wrap_key)
       16    0.000    0.000    0.058    0.004 backend.py:1565(dot)
       16    0.000    0.000    0.057    0.004 math_ops.py:2458(matmul)
     2068    0.005    0.000    0.056    0.000 callbacks.py:233(_call_batch_hook)
        1    0.000    0.000    0.056    0.056 input_layer.py:17(<module>)
     1223    0.002    0.000    0.056    0.000 tf_inspect.py:55(_getargspec)
      279    0.000    0.000    0.055    0.000 ops.py:1090(convert_to_tensor_v2)
 2034/827    0.003    0.000    0.054    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    0.000    0.000    0.054    0.054 distributed_training_utils.py:15(<module>)
        1    0.001    0.001    0.054    0.054 hdf5_format.py:670(save_weights_to_hdf5_group)
      746    0.008    0.000    0.053    0.000 ops.py:1824(_create_c_op)
      275    0.000    0.000    0.053    0.000 ops.py:1030(convert_to_tensor)
      550    0.002    0.000    0.052    0.000 training.py:1851(_validate_or_infer_batch_size)
        1    0.000    0.000    0.052    0.052 _subplots.py:1(<module>)
     5489    0.050    0.000    0.051    0.000 <frozen importlib._bootstrap>:78(acquire)
3212/2633    0.009    0.000    0.050    0.000 nest.py:363(_packed_nest_with_indices)
    18922    0.033    0.000    0.049    0.000 game.py:38(forward)
      299    0.001    0.000    0.048    0.000 sre_parse.py:913(parse)
       16    0.000    0.000    0.048    0.003 base_layer_utils.py:135(<lambda>)
       11    0.001    0.000    0.048    0.004 artist.py:1349(pprint_setters)
        2    0.000    0.000    0.048    0.024 iterator_ops.py:15(<module>)
  852/299    0.002    0.000    0.046    0.000 sre_parse.py:411(_parse_sub)
        1    0.000    0.000    0.046    0.046 backend_qt5agg.py:3(<module>)
      314    0.001    0.000    0.045    0.000 <__array_function__ internals>:2(median)
        2    0.000    0.000    0.045    0.023 __init__.py:3233(_call_aside)
 1109/316    0.017    0.000    0.045    0.000 sre_parse.py:469(_parse)
        1    0.000    0.000    0.045    0.045 __init__.py:3250(_initialize_master_working_set)
      589    0.029    0.000    0.045    0.000 ai.py:96(predict_best_moves)
        1    0.000    0.000    0.044    0.044 io_utils.py:16(<module>)
        1    0.000    0.000    0.044    0.044 array_ops.py:16(<module>)
      530    0.011    0.000    0.044    0.000 ai.py:73(<listcomp>)
        1    0.000    0.000    0.044    0.044 __init__.py:13(<module>)
        1    0.000    0.000    0.044    0.044 optimizer_v2.py:713(set_weights)
      314    0.001    0.000    0.044    0.000 function_base.py:3419(median)
    49104    0.024    0.000    0.044    0.000 layer_utils.py:27(is_layer)
     1103    0.003    0.000    0.043    0.000 ops.py:6464(__enter__)
      314    0.001    0.000    0.043    0.000 function_base.py:3359(_ureduce)
       20    0.000    0.000    0.042    0.002 train.py:42(__init__)
       20    0.003    0.000    0.042    0.002 train.py:45(<listcomp>)
12851/6339    0.012    0.000    0.041    0.000 contextlib.py:116(__exit__)
       21    0.000    0.000    0.040    0.002 session.py:1372(_extend_graph)
       21    0.039    0.002    0.039    0.002 {built-in method _pywrap_tensorflow_internal.ExtendSession}
        3    0.000    0.000    0.039    0.013 core.py:998(build)
        1    0.000    0.000    0.039    0.039 rnn.py:15(<module>)
        2    0.000    0.000    0.039    0.020 __init__.py:41(<module>)
     2560    0.010    0.000    0.039    0.000 game.py:15(__init__)
        1    0.000    0.000    0.039    0.039 callbacks.py:17(<module>)
     1709    0.001    0.000    0.039    0.000 _asarray.py:16(asarray)
        3    0.000    0.000    0.039    0.013 tf_utils.py:290(wrapper)
    17936    0.006    0.000    0.039    0.000 random.py:218(randint)
      335    0.021    0.000    0.038    0.000 __init__.py:316(namedtuple)
       65    0.001    0.000    0.038    0.001 gen_resource_variable_ops.py:545(read_variable_op)
       16    0.000    0.000    0.038    0.002 __init__.py:611(add_entry)
        1    0.000    0.000    0.038    0.038 contour.py:3(<module>)
    98793    0.027    0.000    0.038    0.000 object_identity.py:44(__hash__)
       15    0.000    0.000    0.038    0.003 array_ops.py:538(_slice_helper)
      550    0.001    0.000    0.037    0.000 network.py:474(stateful)
    17051    0.021    0.000    0.037    0.000 inspect.py:2467(__init__)
      314    0.005    0.000    0.037    0.000 function_base.py:3508(_median)
      550    0.001    0.000    0.037    0.000 training_utils.py:1550(convert_eager_tensors_to_numpy)
    94/78    0.000    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
    94/78    0.006    0.000    0.037    0.000 {built-in method _imp.exec_dynamic}
        2    0.000    0.000    0.036    0.018 training.py:164(compile)
      202    0.000    0.000    0.036    0.000 __init__.py:2037(find_on_path)
        1    0.000    0.000    0.036    0.036 optional_ops.py:15(<module>)
        1    0.000    0.000    0.036    0.036 math_ops.py:68(<module>)
        1    0.000    0.000    0.036    0.036 estimator_lib.py:15(<module>)
     9609    0.004    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
        1    0.000    0.000    0.034    0.034 _axes.py:1(<module>)
     7557    0.004    0.000    0.034    0.000 nest.py:147(_yield_value)
      317    0.001    0.000    0.034    0.000 overrides.py:154(decorator)
     2102    0.008    0.000    0.034    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
    54555    0.016    0.000    0.034    0.000 {method 'add' of 'set' objects}
    10079    0.033    0.000    0.033    0.000 {built-in method posix.stat}
        2    0.000    0.000    0.033    0.017 training.py:1687(_compile_weights_loss_and_weighted_metrics)
       53    0.000    0.000    0.033    0.001 resource_variable_ops.py:932(_read_variable_op)
    17224    0.033    0.000    0.033    0.000 ai.py:43(direction)
        2    0.000    0.000    0.033    0.017 training.py:1729(_prepare_total_loss)
     2505    0.020    0.000    0.033    0.000 inspect.py:613(cleandoc)
        1    0.000    0.000    0.032    0.032 optimizer_v2.py:408(apply_gradients)
    17936    0.013    0.000    0.032    0.000 random.py:174(randrange)
     1584    0.003    0.000    0.032    0.000 callbacks.py:187(make_logs)
       45    0.000    0.000    0.032    0.001 math_ops.py:881(binary_op_wrapper)
        1    0.000    0.000    0.032    0.032 collections.py:10(<module>)
  746/736    0.003    0.000    0.032    0.000 ops.py:2045(_control_flow_post_processing)
    12851    0.008    0.000    0.032    0.000 contextlib.py:237(helper)
     8107    0.005    0.000    0.031    0.000 ops.py:6015(get_default_graph)
      299    0.001    0.000    0.031    0.000 sre_compile.py:598(_code)
     1982    0.018    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:914(get_data)
     2377    0.002    0.000    0.031    0.000 inspect.py:594(getdoc)
        1    0.000    0.000    0.031    0.031 tpu_cluster_resolver.py:15(<module>)
       18    0.000    0.000    0.031    0.002 six.py:91(__get__)
    18596    0.013    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
